_id,supplierId,productId,productName,sku,quantity,stockBalance,costPrice,sellingPrice,location,referenceNumber,date,createdAt,updatedAt,__v
6933843fcdca1c823329197c,695907bfbaa3b61c7a5550d9,69338208cdca1c82332918d9,AMBER BOTTLE LONG NECK,A-9590,99,99,40.5,50.5,Main,012,2026-02-11T10:29:36.414Z,2025-12-06T01:17:51.783Z,2026-02-11T10:33:04.350Z,0
6933843fcdca1c8233291980,693382cccdca1c8233291904,6933822ccdca1c82332918dc,FLAT BOTTLE,F-9402,0,0,1000,1200,Main,21-099,2025-12-06T01:17:51.807Z,2025-12-06T01:17:51.808Z,2026-02-04T10:32:12.528Z,0
697895848def8441d39f5b16,693382cccdca1c8233291904,6959053dbaa3b61c7a5550b4,60mil pco amber S/N,6-0001,0,0,44.5,55.5,Main,11111111223,2026-01-27T10:37:56.226Z,2026-01-27T10:37:56.235Z,2026-02-04T10:32:53.689Z,0
697897548def8441d39f5b76,695907bfbaa3b61c7a5550d9,697896ea8def8441d39f5b59,34 gram ropp Amber,3-2960,0,0,1000,1100,Main,1122,2026-01-27T10:45:40.716Z,2026-01-27T10:45:40.719Z,2026-02-04T10:33:54.929Z,0
6981c71d23538f5003888aa3,695907bfbaa3b61c7a5550d9,6964ebd2f5302b3a8c4ad942,100mil pco S/N amber long neck,1-3439,15500,15500,45.48,54.48,Main,00005,2026-02-03T09:59:57.906Z,2026-02-03T09:59:57.908Z,2026-02-03T10:01:40.576Z,0
69831376853f67e121d7ad40,695907bfbaa3b61c7a5550d9,69831318853f67e121d7ad23,60mil pco clear normal neck,6-2371,102000,102000,40.5,45.5,Main,004,2026-02-11T10:21:30.726Z,2026-02-04T09:37:58.417Z,2026-02-11T10:21:30.727Z,0
