_id,product,type,quantity,reason,balanceAfter,recordedBy,reference,createdAt,updatedAt,__v
6978978f8def8441d39f5b81,697896ea8def8441d39f5b59,out,10,production,490,System,,2026-01-27T10:46:39.459Z,2026-01-27T10:46:39.459Z,0
697f9c34c90784d16a1fe720,697896ea8def8441d39f5b59,out,25,PRODUCE,465,System,,2026-02-01T18:32:20.597Z,2026-02-01T18:32:20.597Z,0
6981b21d23538f50038888f5,697896ea8def8441d39f5b59,out,20,poduction,445,System,,2026-02-03T08:30:21.738Z,2026-02-03T08:30:21.738Z,0
698c5ae0486c76ed80c15420,69338208cdca1c82332918d9,out,102,PROCUTION,99,System,,2026-02-11T10:33:04.334Z,2026-02-11T10:33:04.334Z,0
